x,y,z,t,u,v,w,p,d,dx,dy
-0.004897695,-0.0009959288,0.05,0.005,0.0,0.0,0.0,-1.095225,0.0,0.0,0.0
0.0049713518,0.0005258252,0.0495937659,0.005,-2.02646e-05,-2.2626e-06,0.0,-1.130883,2.041886304482432e-08,-2.0299999903272692e-08,-2.1999999599842113e-09
0.0049694276,-0.0005372256,0.0004075724,0.005,-4.24694e-05,9.44202e-05,0.0,19.51517,1.4060088915357483e-07,-1.4059999386972777e-07,4.999999858590343e-10
-0.004036053,0.0029464011,0.0489337976,0.005,5.38283e-05,-4.11651e-05,0.0,-1.881555,6.706131472355992e-08,5.389999913063548e-08,-3.9900001524983963e-08
-0.0043752156,0.0024109055,0.048444834,0.005,9.63576e-05,-5.49899e-05,0.0,-2.902037,1.0849313270000494e-07,9.499999720219421e-08,-5.240000078288176e-08
-0.0044222843,0.0023253299,0.0488030975,0.005,6.89301e-05,-3.74326e-05,0.0,-2.271454,7.773441978997653e-08,6.900000215637192e-08,-3.57999994093916e-08
-0.002942094,-0.004039562,0.0489434548,0.005,3.74995e-05,5.39967e-05,0.0,-1.725194,6.606640567952127e-08,3.890000144224359e-08,5.340000086562213e-08
-0.0023970743,-0.004382173,0.048451881,0.005,5.10416e-05,9.62836e-05,0.0,-2.821639,1.0705606001693013e-07,5.1600000716689465e-08,9.379999710290576e-08
-0.0023189973,-0.0044254005,0.0488083979,0.005,3.41581e-05,7.02665e-05,0.0,-2.384543,7.705646964950574e-08,3.490000111128211e-08,6.869999680247929e-08
-0.0029494796,0.0040333778,0.0010667621,0.005,0.0002259965,5.43278e-05,0.0,-7.079239,2.3237839741341304e-07,1.0240000136718663e-07,-2.08599999496073e-07
-0.0024111994,0.0043746332,0.0015480294,0.005,0.0002410347,0.0001428183,0.0,8.510316,4.6963305067038164e-07,1.3800000431274384e-07,-4.4890001049679995e-07
-0.0023167423,0.004426226,0.0011891481,0.005,0.0001424307,0.0001255022,0.0,14.97423,3.3972091273426486e-07,8.149999786155604e-08,-3.298000024187786e-07
-0.0040387741,-0.0029422897,0.0010610446,0.005,0.0002108491,0.0001561301,0.0,-8.505259,5.404987177826115e-07,3.876999983276619e-07,3.766000133964553e-07
-0.004379333,-0.0024010138,0.0015494056,0.005,0.0003034953,0.0001844908,0.0,7.411488,8.825277859614289e-07,7.102000267877884e-07,5.238999847279047e-07
-0.0044257225,-0.0023171315,0.0011928131,0.005,0.0002058734,0.0001128708,0.0,21.1536,6.200349957907747e-07,5.031000114286144e-07,3.623999873525463e-07
0.0004850066,-0.0049756559,0.0496053582,0.005,-2.3732e-06,2.02251e-05,0.0,-1.364927,2.0010496371014597e-08,-2.099999951710174e-09,1.9899999870176543e-08
0.0004842271,0.0049755934,0.0003887455,0.005,-3.02484e-05,-7.63329e-05,0.0,-8.401911,1.112130405545031e-07,-3.750000132640707e-08,-1.0469999978113265e-07
0.0028540823,-0.0041010697,0.0016192457,0.005,-0.0003916104,-0.0002582245,0.0,3.39088,8.301025218315772e-07,-4.050000086408545e-07,7.245999995575403e-07
0.0024629393,-0.0043476296,0.0020376674,0.005,-0.0003137929,-0.0005087947,0.0,-10.96595,1.1231686585233547e-06,-4.871999976785446e-07,1.0119999842572724e-06
0.0023753857,-0.0043967765,0.0016495307,0.005,-0.0001505561,-0.0004600592,0.0,-4.114141,8.891628908713756e-07,-3.5869999237547745e-07,8.136000246850017e-07
0.0041034942,0.0028499458,0.0016191613,0.005,0.0003886339,9.16749e-05,0.0,6.791735,9.855091320787324e-07,-8.868000236361695e-07,-4.299000124774466e-07
0.0043464123,0.0024647961,0.0020375613,0.005,0.0004734149,0.0001957498,0.0,-10.23,1.373404643345566e-06,-1.260900035049417e-06,-5.443999953058665e-07
0.004397002,0.0023745505,0.0016496728,0.005,0.0003865761,0.000206994,0.0,5.263258,1.0568587640591431e-06,-9.768000381882302e-07,-4.0349999608224607e-07
0.0028566962,0.0041002573,0.0483799178,0.005,-6.82598e-05,-0.0001006272,0.0,-2.911989,1.1521740361786215e-07,-6.490000004077956e-08,-9.520000077145596e-08
0.0024639222,0.0043482178,0.0479622748,0.005,-8.15002e-05,-0.0001445657,0.0,-3.617857,1.549337014239427e-07,-7.620000275210259e-08,-1.3490000583260553e-07
0.0023697704,0.0044003965,0.0483500472,0.005,-5.83588e-05,-0.0001108306,0.0,-3.035581,1.1835556534833813e-07,-5.5000000998006726e-08,-1.0480000156576352e-07
0.0041018424,-0.0028542091,0.0483813919,0.005,-9.96106e-05,6.71796e-05,0.0,-3.019686,1.1516110731690787e-07,-9.520000077145596e-08,6.479999825614868e-08
0.0043428234,-0.0024746283,0.0479606565,0.005,-0.0001446255,8.09779e-05,0.0,-3.505619,1.554183057805858e-07,-1.354000005449052e-07,7.629999743130611e-08
0.0043968488,-0.0023769836,0.0483500618,0.005,-0.0001097234,5.71597e-05,0.0,-3.112775,1.1817851230944143e-07,-1.0459999799650177e-07,5.5000000998006726e-08
