x,y,z,t,u,v,w,p,d,dx,dy,dz
0.0033456,-0.0037158,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0037157,0.0033457,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0037157,-0.0033457,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0033456,-0.0037158,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0033456,0.0037158,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0040451,0.002939,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.002939,-0.0040451,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.002939,0.0040451,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0040451,-0.002939,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0049742352,0.0004914004,-0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0049539454,0.0006458883,0.0003414918,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0049742352,-0.0004914003,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0049535106,-0.000648595,0.0496587296,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0037157,0.0033457,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0037169443,0.0033442462,0.0003676113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0037157,-0.0033457,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0037169442,-0.0033442462,0.0496323866,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0033457,-0.0037157,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.003344,-0.0037172,0.0003514996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0033457,0.0037157,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0033440963,0.0037170934,0.0496317803,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0037157,0.0033457,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
