x,y,z,t,d,dx,dy,dz,eta
0.0045656101,-0.0020382375,0.0003407161,0.01,3.865294218030613e-08,1.8199999729517913e-08,3.410000104508981e-08,0,2.7182327543354146e-09
0.0020338,0.0045677,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0020415803,0.0045640337,0.0003411614,0.01,4.907830586375894e-08,3.519999935974738e-08,3.419999927700701e-08,0,4.559215879482159e-08
0.0048908,0.0010395,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0047553,0.001545,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0047551,0.0015456,0.0003261584,0.01,6.048338718755986e-08,3.6799999492131974e-08,4.800000041882413e-08,0,4.983555762071851e-08
0.0048908,-0.0010395,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0047553,-0.001545,0.05,0.01,1.000000013351432e-10,0.0,1.000000013351432e-10,0,-3.0900059420913006e-11
0.0047551522,-0.0015454303,0.0496542505,0.01,2.0386589767440455e-06,1.9332001102156937e-06,-6.47200010917004e-07,0,2.0385796199668196e-06
0.0010395,0.0048907,0.05,0.01,1.000000013351432e-10,-1.000000013351432e-10,0.0,0,-2.0790203759946113e-11
0.001545,0.0047553,0.05,0.01,1.000000013351432e-10,-1.000000013351432e-10,0.0,0,-3.0900059420913006e-11
0.0015451941,0.0047552321,0.0496591719,0.01,1.9518583940225653e-06,6.126999778643949e-07,1.8532000467530452e-06,0,1.951832897659732e-06
0.0010395,-0.0048907,0.0,0.01,0.0,0.0,0.0,0,0.0
0.001545,-0.0047553,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0015453,-0.0047552,0.0003262385,0.01,2.0862646721298006e-08,-3.3000000509986194e-09,2.0599999928094803e-08,0,-2.0611370783740757e-08
0.0020337,0.0045677,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0020337,-0.0045677,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0045678,0.0020336,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0045678,-0.0020336,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0049726,0.0005226478,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0049726,0.0005226048,0.0496723,0.01,1.8717150851443876e-06,-1.8601999727252405e-06,2.0730000471758103e-07,0,1.8716783087751113e-06
-0.005,0.0,0.05,0.01,0.0,0.0,-0.0,0,0.0
-0.0049726,-0.0005226478,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0049726,-0.0005226048,0.0003277039,0.01,5.022270244126048e-08,-4.2599999972026126e-08,2.660000042453703e-08,0,3.958649565441452e-08
-0.005,0.0,0.0,0.01,0.0,0.0,-0.0,0,0.0
0.005,0.0,0.0,0.01,0.0,0.0,0.0,0,0.0
0.0049726,0.0005226478,0.0,0.01,0.0,0.0,0.0,0,0.0
0.00497061,0.0005357369,0.0003362849,0.01,5.4555108874865255e-08,3.010000071412833e-08,4.549999843561636e-08,0,3.480264651727766e-08
0.005,0.0,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0049726,-0.0005226478,0.05,0.01,0.0,0.0,0.0,0,0.0
0.0049725797,-0.0005224358,0.0496561749,0.01,1.9786020857281983e-06,1.9633000647445442e-06,-2.456000061101804e-07,0,1.9782155999551257e-06
-0.000522642,-0.0049726,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0005181046,-0.0049728933,0.0496511633,0.01,1.9660230918816524e-06,-1.8709999949351186e-07,-1.957100039362558e-06,0,1.9659520992471383e-06
-0.000522642,0.0049726,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0005179923,0.0049729134,0.0003527405,0.01,2.0359028241045962e-08,1.549999950611891e-08,-1.3200000203994477e-08,0,-1.473478303173209e-08
-0.0025001,0.0043301,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0043301,-0.0025001,0.05,0.01,0.0,0.0,0.0,0,0.0
-0.0043301,0.0025001,0.0,0.01,0.0,0.0,0.0,0,0.0
-0.0025001,-0.0043301,0.0,0.01,0.0,0.0,0.0,0,0.0
0.000522642,0.0049726,0.05,0.01,0.0,0.0,0.0,0,0.0
