x,y,z,t,d,dx,dy,dz,eta
-0.0005312613,0.0049713065,0.0496200664,0.0025,1.000000013351432e-10,0.0,-1.000000013351432e-10,0,-9.943383269539474e-11
-0.0005225731,-0.0049726,0.0,0.0025,0.0,0.0,0.0,0,0.0
-0.0005306688,-0.0049713339,0.0003752727,0.0025,5.749529918830376e-06,-6.3189997945301e-07,-5.71469990973128e-06,0,5.749488751347759e-06
-0.0010395,0.0048907,0.05,0.0025,0.0,0.0,0.0,0,0.0
-0.0010395,-0.0048907,0.0,0.0025,0.0,0.0,0.0,0,0.0
-0.0048984347,0.0009912543,-0.0,0.0025,0.0,0.0,0.0,0,0.0
-0.004897695,-0.0009959288,0.05,0.0025,0.0,0.0,0.0,0,0.0
0.0049713721,0.0005258274,0.0495937659,0.0025,2.000000026702864e-10,-2.000000026702864e-10,0.0,0,-1.9889054726079936e-10
0.0049695682,-0.0005372261,0.0004075724,0.0025,6.3249376580643e-06,6.28950010650442e-06,-6.686000233457889e-07,0,6.32492765345518e-06
-0.0040361069,0.002946441,0.0489337976,0.0025,3.6055514129884614e-10,2.999999970665357e-10,-2.000000026702864e-10,0,-3.6022819276115836e-10
-0.0043753106,0.0024109579,0.048444834,0.0025,5.830951832486164e-10,4.999999858590343e-10,-2.999999970665357e-10,0,-5.827008259587374e-10
-0.0044223533,0.0023253657,0.0488030975,0.0025,4.4721359948596273e-10,4.000000053405728e-10,-2.000000026702864e-10,0,-4.471201534017588e-10
-0.0029421329,-0.0040396154,0.0489434548,0.0025,3.605551135432705e-10,2.000000026702864e-10,2.999999970665357e-10,0,-3.6024501350734317e-10
-0.0023971259,-0.0043822668,0.048451881,0.0025,5.830951832486164e-10,2.999999970665357e-10,4.999999858590343e-10,0,-5.826316191656633e-10
-0.0023190322,-0.0044254692,0.0488083979,0.0025,4.4721359948596273e-10,2.000000026702864e-10,4.000000053405728e-10,0,-4.4713261652257197e-10
-0.002949582,0.0040335864,0.0010667621,0.0025,1.854755282693077e-05,-1.097289987228578e-05,1.4953499885450583e-05,0,1.8547526943391533e-05
-0.0024113374,0.0043750821,0.0015480294,0.0025,2.842415779014118e-05,-1.383380003971979e-05,2.483060052327346e-05,0,2.8423862045073855e-05
