x,y,z,t,u,v,w,p,d,dx,dy
-0.0003736696,0.004112,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.70888e-05,0.0042144888,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7066e-05,0.0037365439,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0033743,0.0023797,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0036483,0.0020832,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0032421157,0.001854585,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0004837777,-0.0003844918,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013518216,-0.0028538948,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021186,-0.003496,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025094,-0.0033583,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022432,-0.0029421,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0036347,0.0021165,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0033591,0.0024169,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0032276999,0.0018899312,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022992926,0.0003013367,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023335866,0.0007053792,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018842617,0.0006303569,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0023766,0.0033665,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020836,0.0036462,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0018533868,0.0032414048,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0026910914,0.0018287235,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025108,0.0021773,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017796,0.0001720377,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013019157,0.0005666116,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0014135042,0.0029215118,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
