x,y,z,t,u_scaled,v_scaled,w_scaled,p_scaled,d,dx,dy
-0.0047564607,-0.0015415496,0.0003423175,0.01,-8.0019e-06,-4.75971e-05,0.0,4.881354,4.5708862472793044e-08,-3.7100001293310925e-08,2.6700000432811066e-08
-0.0020338,0.0045677,0.05,0.01,0.0,0.0,0.0,89.67188,0.0,0.0,0.0
-0.0015451,0.0047553,0.05,0.01,0.0,0.0,0.0,39.79382,0.0,0.0,0.0
-0.002075949,0.0045487895,0.0496328166,0.01,-0.0008276472,0.001781127,0.0,123.4594,2.0535674138955073e-06,-8.622000109426153e-07,1.8637999801285332e-06
-0.0045677,-0.0020337,0.05,0.01,0.0,0.0,0.0,116.6958,0.0,0.0,0.0
-0.0047589726,-0.0015313963,0.05,0.01,0.0,0.0,0.0,115.1435,0.0,0.0,0.0
-0.0045663896,-0.0020411615,0.0496747,0.01,-0.0015467285,-0.0006859923,0.0,119.217,1.8532755348132923e-06,-1.6896000261112931e-06,-7.615000185978715e-07
-0.0045677,0.0020337,0.0,0.01,0.0,0.0,0.0,4.059604,0.0,0.0,0.0
-0.0047589466,0.001531493,0.0,0.01,0.0,0.0,0.0,1.748653,0.0,0.0,0.0
-0.0045647469,0.0020404261,0.0003253073,0.01,1.08097e-05,-3.16831e-05,0.0,2.884482,5.367327204908179e-08,-4.689999855145288e-08,2.6100000383166844e-08
-0.0020338,-0.0045677,0.0,0.01,0.0,0.0,0.0,-2.630454,0.0,0.0,0.0
-0.0015451,-0.0047553,0.0,0.01,0.0,0.0,0.0,8.219718,0.0,0.0,0.0
-0.002073796,-0.0045475876,0.000365752,0.01,-6.54068e-05,-9.70496e-05,0.0,1.091199,2.2631835960851276e-08,-2.039999991154673e-08,9.799999922677216e-09
-0.0043301,-0.0025,0.0,0.01,0.0,0.0,0.0,1.151256,0.0,0.0,0.0
-0.0043270958,-0.0025045549,0.0003563324,0.01,-1.99946e-05,-6.45337e-05,0.0,4.41104,4.006319898053334e-08,-3.0900000780320624e-08,2.550000033352262e-08
-0.0043301,0.0025,0.05,0.01,0.0,0.0,0.0,89.22544,0.0,0.0,0.0
-0.0043291676,0.0025048541,0.0496512508,0.01,-0.0016404304,0.0009632507,0.0,166.2571,2.009814352277317e-06,-1.737599973239412e-06,1.0100000054080738e-06
-0.0025,0.0043301,0.0,0.01,0.0,0.0,0.0,2.349574,0.0,0.0,0.0
-0.002503974,0.0043273488,0.0003432563,0.01,-1.199e-07,-1.1052e-05,0.0,5.466247,1.0509519476897822e-08,-4.699999944790534e-09,-9.399999889581068e-09
-0.0025,-0.0043301,0.05,0.01,0.0,0.0,0.0,88.74512,0.0,0.0,0.0
-0.0025049453,-0.0043290592,0.0496570491,0.01,-0.0008810932,-0.0015953901,0.0,169.778,1.96157930076879e-06,-9.778000276128296e-07,-1.7004999790515285e-06
-0.0048908,0.0010395,0.05,0.01,0.0,0.0,0.0,132.3087,0.0,0.0,0.0
-0.0048908,-0.0010395,0.0,0.01,0.0,0.0,0.0,0.9546088,0.0,0.0,0.0
-0.0010394999,-0.0048907,0.05,0.01,5.3e-08,-1.44e-08,0.0,161.8901,1.000000013351432e-10,1.000000013351432e-10,0.0
-0.0010395,0.0048907,0.0,0.01,9e-10,-1.3e-09,0.0,8.95965,0.0,0.0,0.0
